,ACC,SP,RC,F1,AUC
ABCG2,0.8688662412075364,0.7220649584770986,0.48469747899159654,0.5768717057062506,0.890824654401294
MDR1,0.8262916533446026,0.779616420483179,0.904945054945054,0.8371012511749598,0.9243016618929701
MRP1,0.9521338539031396,0.8394357864357858,0.4445054945054943,0.5753029939803396,0.9057470989912937
MRP2,0.9353196308469238,0.7221269841269838,0.2540659340659339,0.36020054073220686,0.913290009156863
MRP3,0.9705257379634835,0.597535714285714,0.3107142857142857,0.3884667554667553,0.8974634804849475
MRP4,0.9748438806977268,0.3666666666666667,0.16699999999999995,0.2173809523809524,0.934140924002725
NTCP2,0.9940483100631543,0.9249999999999997,0.866666666666666,0.8909090909090901,0.9976055185624295
S15A1,0.9743142459640133,0.9173634100791993,0.8769565217391306,0.8944779341990672,0.9807829429712211
S22A1,0.9650912416552153,0.9194019036519032,0.6096190476190482,0.730417481391394,0.9421513522215603
SO1A2,0.9731989071941824,0.49666666666666665,0.13333333333333333,0.2037301587301587,0.8676382835578034
SO1B1,0.9561970161461332,0.5189999999999999,0.14097222222222214,0.21516994116994112,0.8963549335047917
SO1B3,0.9763331519673766,0.5125,0.151,0.2274761904761905,0.8518626474301156
SO2B1,0.9807471621555771,0.3,0.11,0.15428571428571433,0.8516104214400362
